Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,10981919,GottaClassifyEmAll,"2023-11-19 00:50:20",0.98200,35,"andinappi,qijiayi,somebot"
2,11059850,psykokwakoubeh,"2023-11-18 19:25:14",0.97400,5,mehdibahri
3,11006251,RegiKickAss,"2023-11-18 23:54:16",0.97200,15,"loaigandeel,tocourrege"
4,10981823,"Team Rocket","2023-11-14 21:44:02",0.97000,19,"fabiodagostino,iigoaraluce,jaimegc00,katia123"
5,11004331,"Wigglytuff (Grodoudou)","2023-11-18 22:43:52",0.95600,32,"abirbenmouloud,fatimazahraeelallali"
6,11005548,DeePression🤥😵,"2023-11-19 00:52:23",0.95400,24,"basmaelbali,yasminamnassri"
7,10985912,"🔵 💤 Ronflex-ion  💤 🔵","2023-11-10 20:14:49",0.95000,17,"aristic,ayanajih"
8,10983804,"Abra kAlakazabra","2023-11-18 16:44:57",0.95000,12,"alexisroche13,maxzhuravliov"
0,11104980,MachokeOnDeezPokeballz,"2023-10-20 22:38:01",0.94400,1,
9,10982445,Togekip,"2023-11-17 17:40:25",0.94200,11,"maximebelloni,romaneabdelkader"
10,11005535,"Microsoft Excel'angue 👅","2023-11-18 12:32:55",0.94000,4,"luciebou,naime06,thibautmrl,yannmarchelli"
11,11005500,"😴 Soporifiak 🍑","2023-11-18 16:27:07",0.91800,14,"genoudbenot,tinooooo"
0,10978093,Giovanni,"2023-09-27 14:24:54",0.88200,1,
12,11037845,"AlakaZAM ZIM ZAM ZIM ZAM ZOUM","2023-11-18 17:57:42",0.83400,8,"corentincluet,tomsiegel"
13,11005419,"Team Racaillou","2023-11-18 20:52:29",0.82800,10,"hamzaokd,tsioryrazanakoto"
0,10974354,sample_submission.csv,"2023-09-26 20:41:05",0.00800,1,
